tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Dependents,NumServices,Churn
70,93.53,6458.85,One year,DSL,Electronic check,Yes,0,Yes,5,0
63,108.17,6829.12,Month-to-month,Fiber optic,Mailed check,Yes,0,No,7,0
36,109.55,3940.37,Month-to-month,Fiber optic,Credit card,Yes,0,No,5,0
2,95.66,128.7,Month-to-month,No,Credit card,No internet service,0,No,4,0
22,40.83,979.16,Month-to-month,DSL,Bank transfer,No,0,No,4,0
16,20.48,193.16,Month-to-month,DSL,Bank transfer,No,0,No,6,0
18,56.38,1020.86,Two year,DSL,Mailed check,No internet service,0,No,7,0
69,32.15,2245.11,One year,No,Bank transfer,No,0,No,6,0
54,89.04,4759.34,Month-to-month,Fiber optic,Credit card,No,1,No,4,1
30,84.11,2537.25,Two year,Fiber optic,Bank transfer,Yes,1,Yes,1,0
45,22.4,996.65,Month-to-month,DSL,Electronic check,Yes,0,No,4,0
19,101.66,1980.93,One year,Fiber optic,Bank transfer,Yes,0,No,7,0
34,42.87,1633.41,Month-to-month,Fiber optic,Bank transfer,No,1,Yes,4,1
13,61.22,812.82,One year,DSL,Electronic check,No,0,No,2,0
43,84.79,3676.32,One year,Fiber optic,Electronic check,Yes,0,No,6,0
62,60.94,3729.64,One year,DSL,Bank transfer,Yes,0,No,6,0
22,62.13,1377.57,Month-to-month,Fiber optic,Mailed check,Yes,0,Yes,5,0
52,24.56,1258.61,Month-to-month,No,Credit card,Yes,0,No,4,0
52,58.14,3062.45,Month-to-month,No,Electronic check,Yes,0,No,5,0
36,94.48,3330.15,Month-to-month,Fiber optic,Electronic check,Yes,0,No,3,1
19,109.52,2027.16,Month-to-month,DSL,Electronic check,No internet service,1,No,6,0
38,59.35,2314.29,One year,Fiber optic,Mailed check,No,0,No,2,0
70,60.36,4235.6,Two year,DSL,Mailed check,No,0,No,3,0
57,88.26,5097.17,Month-to-month,DSL,Credit card,No internet service,0,No,6,0
20,112.28,2263.73,Month-to-month,Fiber optic,Bank transfer,No,1,Yes,5,1
9,44.71,427.84,Two year,No,Credit card,No,0,No,5,0
32,62.01,1968.99,Two year,DSL,Electronic check,No,0,Yes,3,0
4,97.6,380.71,Month-to-month,DSL,Electronic check,No,0,No,4,1
50,78.97,3996.69,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,2,1
5,29.06,138.13,One year,DSL,Mailed check,Yes,0,No,5,0
20,80.77,1674.64,One year,Fiber optic,Electronic check,Yes,0,No,1,0
37,36.67,1351.47,Month-to-month,DSL,Bank transfer,Yes,0,No,2,0
22,69.02,1459.49,One year,DSL,Electronic check,No internet service,0,No,3,0
58,70.91,4049.26,One year,Fiber optic,Electronic check,No,0,No,5,0
68,105.62,7173.6,Month-to-month,No,Mailed check,No internet service,1,No,5,0
44,64.25,2872.76,One year,Fiber optic,Mailed check,No,0,No,6,0
34,45.94,1528.85,Month-to-month,No,Credit card,No,0,No,3,0
42,41.1,1762.65,One year,DSL,Credit card,No,0,Yes,1,0
9,105.43,953.86,Month-to-month,No,Electronic check,No,0,Yes,6,1
7,35.1,276.02,Month-to-month,Fiber optic,Credit card,No,0,No,1,1
68,60.59,4105.42,One year,No,Mailed check,No,0,No,5,0
19,36.72,706.78,One year,Fiber optic,Mailed check,No,0,Yes,4,0
31,95.33,3002.18,Two year,DSL,Electronic check,Yes,0,No,1,0
35,65.44,2289.45,Month-to-month,DSL,Bank transfer,No,0,No,1,0
57,53.11,3001.28,Month-to-month,Fiber optic,Electronic check,No,0,No,7,1
61,54.11,3209.82,Two year,DSL,Electronic check,No internet service,0,No,4,0
31,103.22,3226.94,One year,No,Electronic check,No internet service,0,Yes,7,0
53,73.38,3850.42,Two year,DSL,Mailed check,No,0,Yes,6,0
32,89.79,2847.15,Month-to-month,DSL,Bank transfer,Yes,1,Yes,1,0
66,107.7,7054.91,Month-to-month,DSL,Credit card,No internet service,0,No,4,0
59,108.17,6370.77,Month-to-month,DSL,Bank transfer,Yes,0,No,7,0
10,50.85,613.39,Two year,Fiber optic,Credit card,No,1,Yes,3,0
2,113.25,244.09,Two year,Fiber optic,Bank transfer,Yes,0,Yes,6,0
66,20.49,1319.97,Month-to-month,No,Electronic check,No,0,No,2,1
60,55.68,3318.2,Month-to-month,DSL,Mailed check,No,0,No,2,0
17,107.58,1756.92,Month-to-month,No,Mailed check,No,0,No,3,1
16,45.46,670.89,One year,DSL,Mailed check,No internet service,0,Yes,1,0
16,45.31,660.45,Month-to-month,No,Bank transfer,No,0,No,2,1
46,48.26,2233.58,One year,DSL,Bank transfer,No,0,No,3,0
39,79.23,3112.36,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
31,61.83,1920.71,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,1,0
1,90.67,109.17,Month-to-month,Fiber optic,Electronic check,No,0,Yes,6,1
11,107.49,1144.09,One year,DSL,Electronic check,No,1,No,4,0
4,85.42,284.27,Month-to-month,Fiber optic,Mailed check,No,0,No,7,1
71,38.45,2671.98,Two year,DSL,Bank transfer,No,0,No,3,0
26,111.27,2833.03,One year,Fiber optic,Electronic check,No,0,No,6,0
50,44.45,2240.4,Month-to-month,Fiber optic,Mailed check,No,0,No,2,1
12,32.99,496.56,Month-to-month,Fiber optic,Mailed check,No,1,No,1,1
65,27.0,1702.42,Two year,No,Electronic check,No,0,No,6,0
47,74.34,3476.81,Month-to-month,DSL,Bank transfer,No internet service,0,Yes,2,0
53,29.38,1567.09,Month-to-month,DSL,Electronic check,No,0,Yes,1,1
71,31.88,2249.36,Two year,DSL,Credit card,Yes,0,No,1,0
2,48.0,112.65,One year,Fiber optic,Electronic check,No,0,No,1,1
24,46.17,1079.2,Month-to-month,No,Mailed check,No,0,Yes,1,0
4,78.42,279.68,Month-to-month,No,Credit card,Yes,0,No,3,1
19,99.67,1884.7,Two year,No,Credit card,No,1,No,6,0
26,94.13,2463.84,Month-to-month,No,Bank transfer,No,1,No,4,0
40,44.25,1834.06,Month-to-month,No,Electronic check,No,0,No,3,0
50,42.53,2145.38,Month-to-month,Fiber optic,Electronic check,No internet service,0,Yes,2,1
43,114.58,4914.3,Month-to-month,No,Bank transfer,No internet service,0,Yes,3,0
67,18.82,1302.72,Two year,Fiber optic,Mailed check,Yes,0,No,3,0
12,105.97,1321.67,One year,DSL,Credit card,No,0,No,2,0
67,37.97,2529.01,One year,DSL,Mailed check,No,0,Yes,4,0
27,112.73,3036.37,Two year,DSL,Mailed check,No,1,No,3,0
54,52.23,2799.1,Month-to-month,Fiber optic,Mailed check,Yes,0,No,1,1
66,62.04,4135.37,Month-to-month,Fiber optic,Credit card,Yes,1,No,3,1
49,88.71,4350.6,One year,DSL,Electronic check,Yes,0,No,7,0
16,76.77,1157.99,Month-to-month,Fiber optic,Credit card,No internet service,0,Yes,2,1
2,49.79,119.9,Month-to-month,DSL,Mailed check,Yes,0,No,7,0
60,73.38,4477.47,Month-to-month,No,Credit card,Yes,0,No,4,0
54,91.07,4996.25,Month-to-month,No,Mailed check,Yes,1,Yes,7,0
30,22.23,643.05,Month-to-month,No,Bank transfer,No,0,No,3,0
38,19.12,691.73,Month-to-month,DSL,Electronic check,Yes,0,Yes,3,0
28,63.81,1881.48,Month-to-month,No,Credit card,Yes,0,No,7,0
25,31.18,857.93,Month-to-month,DSL,Mailed check,No,0,No,2,0
10,84.43,867.71,Month-to-month,Fiber optic,Mailed check,No,0,No,5,1
60,39.41,2278.71,Month-to-month,Fiber optic,Electronic check,No,0,No,5,1
42,61.29,2543.66,Two year,Fiber optic,Bank transfer,No,0,No,6,0
40,37.77,1456.01,Two year,No,Electronic check,Yes,0,No,7,0
42,72.85,3150.25,One year,Fiber optic,Electronic check,Yes,0,No,3,0
47,29.61,1315.17,Two year,No,Electronic check,Yes,0,No,6,0
37,20.31,841.68,Two year,DSL,Electronic check,No internet service,0,No,1,0
22,23.11,503.21,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,3,0
57,113.43,6405.39,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,6,0
27,32.23,919.51,Two year,DSL,Electronic check,No internet service,0,Yes,7,0
41,88.85,3674.24,One year,No,Electronic check,No,1,Yes,5,0
34,24.79,779.64,Month-to-month,Fiber optic,Mailed check,No,0,Yes,3,1
32,28.82,920.85,One year,Fiber optic,Mailed check,No,0,No,1,0
66,68.89,4615.36,Month-to-month,Fiber optic,Mailed check,No,1,No,4,1
12,64.49,753.35,Month-to-month,Fiber optic,Mailed check,No,0,Yes,3,1
40,113.16,4610.31,Month-to-month,DSL,Mailed check,No,1,No,2,0
10,112.48,1087.6,Month-to-month,Fiber optic,Credit card,Yes,0,No,1,1
48,95.96,4525.02,Month-to-month,Fiber optic,Electronic check,No,0,Yes,3,1
20,78.21,1566.46,Two year,No,Credit card,No,0,Yes,5,0
39,63.5,2403.31,Month-to-month,DSL,Electronic check,No,1,Yes,6,1
60,53.62,3223.32,Month-to-month,Fiber optic,Bank transfer,No internet service,0,Yes,3,0
66,112.71,7439.03,Month-to-month,DSL,Mailed check,Yes,0,No,6,0
65,78.29,5050.96,One year,DSL,Electronic check,No internet service,0,No,5,0
51,75.91,3965.2,Two year,Fiber optic,Bank transfer,No,0,Yes,7,0
36,41.19,1482.65,Month-to-month,DSL,Bank transfer,No,0,Yes,2,0
24,22.67,587.29,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,4,1
27,112.52,3084.45,Month-to-month,Fiber optic,Mailed check,No internet service,1,No,5,1
2,49.37,186.8,One year,DSL,Electronic check,No,0,No,3,0
31,62.26,1869.56,Month-to-month,Fiber optic,Credit card,No,0,No,2,1
57,29.46,1591.57,Month-to-month,DSL,Credit card,Yes,0,No,1,0
66,101.69,6797.9,Month-to-month,No,Mailed check,No,0,No,3,0
29,20.76,631.19,Month-to-month,DSL,Bank transfer,No internet service,0,No,6,0
15,101.4,1527.3,Two year,DSL,Electronic check,Yes,0,Yes,7,0
12,32.03,377.68,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,7,0
28,106.66,2970.85,Month-to-month,No,Mailed check,No,1,Yes,6,0
24,90.98,2226.51,Two year,No,Mailed check,No,0,No,7,0
21,34.47,651.62,Two year,DSL,Electronic check,No,1,No,6,0
10,74.58,769.68,Month-to-month,DSL,Credit card,No,0,No,7,1
18,49.27,938.35,Two year,Fiber optic,Credit card,No,0,Yes,1,0
14,35.82,538.69,One year,No,Credit card,No,0,No,6,0
34,103.92,3529.65,Month-to-month,Fiber optic,Electronic check,No,1,No,6,1
58,58.35,3384.3,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,5,1
22,57.85,1337.08,Month-to-month,DSL,Bank transfer,No internet service,0,No,6,0
70,34.99,2478.3,Month-to-month,DSL,Credit card,No,0,No,7,0
36,56.31,2114.8,Month-to-month,Fiber optic,Credit card,Yes,0,No,2,0
45,105.16,4645.14,One year,DSL,Electronic check,No,0,Yes,7,0
36,54.31,2000.6,Two year,DSL,Bank transfer,No internet service,1,No,4,0
22,113.16,2448.96,Month-to-month,DSL,Bank transfer,No,0,No,3,0
61,112.63,6866.84,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,2,1
56,32.49,1888.23,Month-to-month,DSL,Mailed check,No,0,No,2,0
33,35.73,1129.01,One year,Fiber optic,Electronic check,No internet service,1,No,4,0
45,104.27,4797.81,One year,No,Bank transfer,Yes,0,Yes,6,0
36,57.28,2117.22,Month-to-month,DSL,Credit card,No,0,No,5,0
20,18.44,397.71,One year,Fiber optic,Credit card,No,0,Yes,6,0
18,45.39,770.37,Month-to-month,No,Bank transfer,No internet service,0,No,6,0
38,77.76,2946.0,One year,DSL,Mailed check,No,0,Yes,4,0
67,97.93,6543.16,Month-to-month,DSL,Bank transfer,Yes,0,No,4,0
23,31.34,659.18,Month-to-month,DSL,Credit card,No internet service,0,No,7,0
16,29.05,519.55,Month-to-month,Fiber optic,Bank transfer,No,1,Yes,4,1
59,110.21,6482.13,Two year,Fiber optic,Mailed check,Yes,0,No,6,0
69,93.11,6416.15,One year,DSL,Credit card,No,0,Yes,1,0
68,76.98,5228.25,Two year,No,Credit card,No,1,No,7,0
21,94.92,1982.58,Month-to-month,Fiber optic,Credit card,No,0,No,7,1
70,60.89,4288.5,Month-to-month,DSL,Credit card,No internet service,0,No,6,0
12,93.85,1095.01,Month-to-month,Fiber optic,Mailed check,No,0,No,3,1
16,55.18,933.8,One year,DSL,Credit card,No,1,No,4,0
14,42.41,563.94,Two year,Fiber optic,Bank transfer,Yes,0,No,3,0
61,90.9,5543.56,Two year,DSL,Electronic check,No,0,Yes,6,0
71,59.97,4192.34,One year,Fiber optic,Bank transfer,Yes,0,No,6,0
46,116.14,5395.92,One year,DSL,Mailed check,Yes,0,No,4,0
32,52.95,1760.64,Two year,Fiber optic,Electronic check,Yes,1,No,5,0
15,110.17,1688.38,Month-to-month,DSL,Credit card,Yes,0,No,5,0
44,111.3,4905.56,Two year,Fiber optic,Electronic check,Yes,0,Yes,4,0
17,42.19,715.34,Two year,DSL,Credit card,No,0,No,2,0
41,97.82,3932.6,Month-to-month,DSL,Electronic check,Yes,0,No,3,0
54,61.31,3242.87,One year,DSL,Mailed check,Yes,0,No,5,0
44,109.75,4866.63,Month-to-month,DSL,Mailed check,No internet service,0,No,1,0
5,63.01,306.02,Month-to-month,Fiber optic,Bank transfer,No,0,No,2,1
27,92.43,2427.66,One year,No,Electronic check,No,0,No,7,0
43,64.7,2711.69,Month-to-month,Fiber optic,Credit card,Yes,0,No,5,0
31,40.78,1295.93,Month-to-month,No,Bank transfer,No,1,No,2,0
17,37.94,688.59,Two year,DSL,Bank transfer,No,0,Yes,6,0
54,60.54,3192.63,Month-to-month,DSL,Electronic check,No,0,Yes,3,1
62,93.55,5807.67,Month-to-month,Fiber optic,Mailed check,No,0,No,6,1
32,78.51,2531.62,One year,No,Credit card,No,0,Yes,6,0
40,86.86,3445.33,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,2,1
13,46.23,663.01,Month-to-month,Fiber optic,Electronic check,No internet service,0,Yes,1,1
35,66.14,2297.79,Month-to-month,DSL,Mailed check,Yes,0,No,7,0
5,22.44,26.35,Month-to-month,DSL,Credit card,No,0,Yes,2,1
29,99.75,2883.11,Month-to-month,Fiber optic,Mailed check,Yes,1,Yes,6,1
70,116.99,8257.64,Two year,Fiber optic,Mailed check,No,0,No,7,0
25,58.69,1449.92,Month-to-month,DSL,Bank transfer,No,0,No,5,0
22,19.1,367.78,Month-to-month,No,Credit card,No,0,No,7,0
66,34.98,2340.04,Two year,No,Electronic check,No,0,Yes,1,0
45,83.25,3759.29,Two year,No,Electronic check,No,0,No,6,0
69,79.21,5465.2,Month-to-month,No,Electronic check,No,0,No,3,1
1,96.79,120.64,Month-to-month,DSL,Electronic check,Yes,0,No,5,1
44,43.39,1874.51,One year,No,Electronic check,No,0,No,3,0
39,94.36,3650.16,One year,Fiber optic,Electronic check,No internet service,0,No,6,0
54,86.8,4723.49,One year,No,Mailed check,Yes,0,Yes,4,0
29,50.28,1409.84,Month-to-month,DSL,Electronic check,No,0,No,5,1
54,72.55,3998.38,Month-to-month,Fiber optic,Mailed check,No internet service,0,Yes,2,0
16,32.73,585.11,Month-to-month,DSL,Credit card,No,0,No,3,1
20,63.26,1207.92,One year,DSL,Electronic check,No,0,Yes,2,0
46,106.12,4955.3,One year,No,Mailed check,No,0,No,7,0
67,60.12,4035.59,Month-to-month,No,Electronic check,No internet service,0,No,7,0
65,101.96,6696.42,Month-to-month,Fiber optic,Mailed check,No internet service,0,Yes,6,0
58,77.03,4474.14,Two year,Fiber optic,Bank transfer,Yes,0,No,1,0
53,37.19,1962.09,Month-to-month,Fiber optic,Credit card,No,0,No,3,1
1,76.11,62.04,Month-to-month,DSL,Mailed check,No,0,Yes,3,1
66,68.6,4405.01,One year,Fiber optic,Credit card,Yes,0,No,1,0
29,57.86,1724.42,Month-to-month,Fiber optic,Bank transfer,No,0,No,1,1
70,29.96,2062.06,Month-to-month,Fiber optic,Electronic check,No,0,Yes,1,1
8,59.67,525.36,Month-to-month,No,Electronic check,No internet service,0,Yes,6,1
29,25.28,816.71,One year,Fiber optic,Bank transfer,No internet service,0,No,1,0
51,27.88,1392.84,Month-to-month,Fiber optic,Credit card,Yes,0,No,7,0
33,59.59,1934.69,Two year,No,Mailed check,No,0,No,4,0
3,48.54,196.0,Month-to-month,No,Electronic check,No,0,No,3,1
60,110.55,6609.89,One year,No,Credit card,Yes,0,No,6,0
35,55.57,2010.83,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
69,93.79,6436.66,Month-to-month,DSL,Bank transfer,No internet service,0,Yes,7,0
20,71.02,1492.41,One year,DSL,Electronic check,No,0,No,4,0
39,88.41,3432.65,Month-to-month,DSL,Electronic check,No internet service,0,No,7,0
4,44.01,192.56,One year,Fiber optic,Mailed check,No,0,No,4,1
19,112.19,2180.73,Month-to-month,DSL,Bank transfer,No,0,No,7,0
45,71.01,3220.97,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
43,101.13,4402.23,Month-to-month,No,Bank transfer,Yes,0,No,3,0
13,54.5,635.76,One year,No,Electronic check,No,0,Yes,3,0
13,28.02,343.91,Month-to-month,DSL,Mailed check,No,0,Yes,6,0
60,85.37,5125.43,Two year,DSL,Electronic check,No,0,Yes,3,0
57,18.78,1031.95,Month-to-month,No,Bank transfer,No,0,Yes,3,0
52,65.53,3456.06,Month-to-month,Fiber optic,Credit card,No internet service,0,No,1,0
53,37.28,1950.24,Month-to-month,No,Electronic check,No,0,Yes,7,0
43,80.74,3433.54,Month-to-month,No,Electronic check,No,0,No,5,0
42,115.94,4916.59,Month-to-month,Fiber optic,Credit card,No,0,No,2,1
26,64.44,1623.17,One year,Fiber optic,Mailed check,Yes,0,No,2,0
23,99.75,2244.41,Month-to-month,Fiber optic,Mailed check,No internet service,0,Yes,1,0
43,68.78,2982.89,Month-to-month,Fiber optic,Electronic check,No,0,No,7,1
28,67.58,1959.54,Two year,Fiber optic,Credit card,Yes,0,No,4,0
9,111.04,1007.47,Month-to-month,Fiber optic,Credit card,No internet service,0,No,5,1
20,107.0,2059.14,Month-to-month,No,Electronic check,No internet service,1,No,2,0
56,96.58,5442.73,Month-to-month,DSL,Mailed check,No internet service,0,No,4,0
39,47.63,1827.77,Month-to-month,No,Credit card,No,0,Yes,7,0
51,72.5,3753.58,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,3,0
12,40.39,465.69,Month-to-month,No,Mailed check,Yes,0,Yes,6,0
55,62.39,3488.74,Month-to-month,DSL,Mailed check,No,0,No,5,0
11,66.42,709.74,One year,DSL,Electronic check,Yes,0,No,5,0
26,101.16,2595.83,One year,DSL,Credit card,No,0,No,6,0
42,107.6,4423.44,One year,DSL,Mailed check,No internet service,0,No,3,0
27,59.46,1572.49,Month-to-month,DSL,Mailed check,No internet service,0,No,2,0
11,19.77,226.34,Month-to-month,No,Electronic check,No,0,No,7,1
38,104.18,3963.76,Month-to-month,Fiber optic,Bank transfer,No,0,No,5,1
43,35.43,1553.98,Month-to-month,No,Credit card,No internet service,0,No,1,0
19,80.19,1585.78,Month-to-month,Fiber optic,Mailed check,No,0,Yes,1,1
64,20.5,1313.25,Month-to-month,DSL,Credit card,Yes,1,No,1,0
6,57.95,351.09,Month-to-month,Fiber optic,Electronic check,No,1,No,6,1
46,116.6,5419.06,One year,No,Bank transfer,No,0,No,5,0
42,28.07,1190.46,Month-to-month,Fiber optic,Mailed check,Yes,0,No,2,0
65,60.37,3877.85,Two year,DSL,Electronic check,No internet service,1,No,6,0
59,48.71,2848.08,One year,No,Electronic check,No,0,Yes,4,0
52,108.51,5535.96,Month-to-month,DSL,Electronic check,No internet service,0,No,2,0
47,104.93,4885.06,Month-to-month,Fiber optic,Credit card,No,1,No,4,1
7,41.77,207.87,One year,Fiber optic,Bank transfer,Yes,0,No,7,0
11,26.12,304.86,One year,DSL,Bank transfer,Yes,0,Yes,5,0
61,80.71,4984.12,Month-to-month,DSL,Electronic check,No internet service,0,Yes,7,0
68,51.64,3464.26,Month-to-month,No,Credit card,Yes,0,No,3,0
25,85.21,2085.03,Month-to-month,No,Electronic check,No,0,No,4,0
12,21.21,301.7,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,4,1
26,31.34,792.29,Two year,DSL,Credit card,No,0,Yes,2,0
12,86.64,1052.48,Month-to-month,DSL,Electronic check,Yes,1,No,5,1
43,39.24,1724.35,Month-to-month,DSL,Bank transfer,Yes,0,No,2,0
51,103.76,5256.29,Month-to-month,Fiber optic,Electronic check,No,1,Yes,5,1
37,23.86,848.35,Two year,DSL,Electronic check,No,0,Yes,7,0
46,39.55,1793.9,One year,DSL,Bank transfer,No,0,Yes,4,0
53,117.86,6168.69,One year,Fiber optic,Electronic check,No,0,No,3,0
13,61.31,821.33,Two year,Fiber optic,Mailed check,No,0,No,6,0
54,88.3,4798.06,Two year,No,Electronic check,No,0,No,5,0
57,36.27,2071.16,One year,Fiber optic,Mailed check,No,0,No,4,0
4,78.99,383.93,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,6,1
49,90.61,4426.86,Month-to-month,Fiber optic,Bank transfer,No,0,No,6,1
7,49.45,377.01,One year,Fiber optic,Electronic check,No,0,No,3,0
11,100.89,1134.08,Month-to-month,Fiber optic,Credit card,No internet service,1,No,2,1
54,78.34,4190.5,One year,Fiber optic,Bank transfer,No internet service,0,Yes,2,0
45,56.91,2618.8,Month-to-month,Fiber optic,Mailed check,No,0,Yes,5,1
23,73.76,1702.99,One year,Fiber optic,Credit card,No internet service,0,No,5,0
28,75.68,2167.66,Month-to-month,No,Electronic check,Yes,0,No,5,0
57,34.55,1904.5,Month-to-month,Fiber optic,Electronic check,No internet service,1,No,2,1
26,58.27,1520.59,One year,Fiber optic,Electronic check,Yes,0,Yes,5,0
25,52.34,1285.55,Month-to-month,Fiber optic,Mailed check,No,0,Yes,4,1
54,58.09,3094.3,One year,DSL,Credit card,No internet service,0,No,6,0
29,94.11,2799.7,Month-to-month,Fiber optic,Electronic check,Yes,0,No,1,0
36,66.25,2394.9,Two year,No,Credit card,Yes,0,No,1,0
14,112.03,1494.59,Two year,Fiber optic,Bank transfer,No,0,No,5,0
35,47.37,1633.0,Month-to-month,DSL,Electronic check,No,0,No,4,1
30,59.57,1834.06,One year,Fiber optic,Credit card,Yes,0,No,4,0
17,96.7,1601.18,Month-to-month,DSL,Credit card,No,0,No,4,1
67,72.6,4816.62,Month-to-month,Fiber optic,Credit card,No,1,No,6,1
30,72.7,2173.73,One year,DSL,Mailed check,Yes,0,Yes,3,0
45,23.33,1073.5,One year,Fiber optic,Electronic check,No,0,No,7,0
51,57.86,2914.44,Month-to-month,Fiber optic,Mailed check,Yes,0,No,6,0
47,45.07,2137.98,Month-to-month,Fiber optic,Bank transfer,No,1,No,4,1
53,117.93,6252.22,Two year,Fiber optic,Mailed check,No,1,No,2,0
64,48.84,3133.29,Month-to-month,DSL,Bank transfer,No internet service,0,No,7,0
38,106.45,3924.85,Two year,DSL,Credit card,No,0,Yes,2,0
64,85.62,5480.69,One year,Fiber optic,Electronic check,Yes,0,No,4,0
7,52.09,352.11,Month-to-month,DSL,Mailed check,No,0,No,1,1
22,72.35,1611.29,Month-to-month,Fiber optic,Credit card,No internet service,0,Yes,3,0
41,102.05,4151.51,Month-to-month,Fiber optic,Electronic check,No,1,No,6,1
10,106.34,1044.82,Two year,DSL,Mailed check,No,0,Yes,2,0
57,34.04,1966.9,Two year,DSL,Electronic check,No internet service,1,No,7,0
7,51.96,435.99,One year,DSL,Electronic check,No,0,No,2,0
50,51.52,2509.89,Month-to-month,Fiber optic,Mailed check,No internet service,1,Yes,7,1
52,22.2,1180.29,One year,DSL,Electronic check,No,0,No,2,0
33,77.82,2629.18,Month-to-month,DSL,Electronic check,Yes,0,No,6,0
1,103.48,138.22,One year,Fiber optic,Bank transfer,Yes,1,Yes,3,0
53,56.16,3033.97,Month-to-month,No,Electronic check,No,0,No,4,0
60,92.0,5493.04,Two year,Fiber optic,Electronic check,No,0,No,3,0
34,80.77,2808.02,One year,No,Credit card,No,0,Yes,4,0
4,55.56,186.04,Month-to-month,DSL,Bank transfer,Yes,0,No,5,0
17,32.11,548.56,Two year,DSL,Electronic check,No internet service,0,Yes,2,0
4,88.93,330.61,Month-to-month,DSL,Credit card,No internet service,0,No,6,0
43,103.46,4425.52,Month-to-month,No,Electronic check,No,0,No,7,1
4,86.59,260.27,Month-to-month,DSL,Electronic check,No,0,No,1,1
1,19.79,0.0,One year,Fiber optic,Credit card,Yes,0,No,3,0
71,39.62,2872.09,Two year,Fiber optic,Electronic check,No,1,Yes,6,0
50,24.95,1157.45,Two year,Fiber optic,Credit card,No,0,No,3,0
61,75.04,4589.88,One year,DSL,Credit card,No,0,Yes,6,0
35,93.65,3212.72,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
8,29.06,190.04,Month-to-month,No,Electronic check,No,1,Yes,7,1
24,101.83,2478.23,Month-to-month,Fiber optic,Electronic check,No,0,Yes,2,1
36,73.55,2655.93,Two year,Fiber optic,Electronic check,Yes,0,No,6,0
50,87.0,4343.49,Two year,Fiber optic,Credit card,No internet service,0,No,1,0
43,115.14,5008.26,Month-to-month,No,Mailed check,Yes,0,No,1,0
27,26.37,697.45,One year,DSL,Electronic check,Yes,0,Yes,2,0
32,108.12,3521.42,One year,DSL,Mailed check,No,0,No,6,0
18,30.61,497.51,Month-to-month,Fiber optic,Electronic check,No,0,No,4,1
28,57.3,1544.8,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
29,103.14,2984.26,Two year,No,Electronic check,No,1,No,1,0
16,108.63,1738.17,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,2,1
47,68.64,3183.03,Two year,Fiber optic,Electronic check,Yes,0,No,1,0
59,77.41,4553.41,Month-to-month,DSL,Mailed check,Yes,0,Yes,5,0
31,88.81,2821.49,Month-to-month,Fiber optic,Electronic check,No,1,No,4,1
4,101.28,385.38,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,6,1
37,30.15,1018.77,Two year,Fiber optic,Mailed check,Yes,0,No,1,0
17,99.01,1595.95,Month-to-month,DSL,Electronic check,No,0,Yes,6,1
39,66.13,2683.31,One year,No,Mailed check,No internet service,0,No,7,0
48,63.06,3099.52,Month-to-month,DSL,Bank transfer,Yes,0,Yes,7,0
46,60.39,2756.14,Month-to-month,DSL,Electronic check,No,0,No,3,1
48,68.92,3348.75,Two year,No,Bank transfer,No,0,No,3,0
39,112.51,4400.72,Month-to-month,Fiber optic,Mailed check,No,0,Yes,6,1
4,72.82,354.81,Two year,Fiber optic,Bank transfer,No internet service,0,No,4,0
30,113.32,3345.97,Month-to-month,No,Bank transfer,No,0,Yes,4,0
30,36.03,1028.72,One year,DSL,Credit card,Yes,0,No,3,0
22,90.41,2055.07,One year,DSL,Mailed check,No,0,Yes,6,0
66,99.22,6474.12,Two year,Fiber optic,Electronic check,Yes,0,No,6,0
12,85.91,1034.44,Month-to-month,DSL,Credit card,No,0,Yes,6,0
36,78.69,2830.69,One year,No,Bank transfer,No internet service,0,No,6,0
18,74.48,1379.88,Month-to-month,No,Credit card,No,0,Yes,6,0
53,104.09,5523.93,Month-to-month,DSL,Electronic check,No,0,No,5,0
71,100.16,7105.09,Month-to-month,No,Bank transfer,Yes,0,No,7,0
1,30.23,11.2,Month-to-month,DSL,Mailed check,Yes,0,Yes,5,0
58,102.86,5916.07,Two year,Fiber optic,Bank transfer,Yes,0,No,1,0
6,59.41,348.14,One year,No,Credit card,No internet service,0,No,4,0
70,43.37,3094.13,Month-to-month,No,Mailed check,No internet service,0,No,3,0
